"Region","Slope","Slope p-value","Changepoint","Changepoint p-value"
"NWP",0.00494831123737374,0.00353880038714447,16,0.00117338969018534
"SP",0.00026713833579155,0.885604947455087,25,0.886333169229065
"AUS",0.000286040998931637,0.947859977968412,16,0.195443433711819
"IND",0.00146305076628353,0.504757480200261,18,0.339508471483189
"SWA",-0.00228174603174603,0.119616127602119,26,0.25212688817776
"SEA",-0.00279030609176739,0.204565396510801,9,0.0402895832692808
"NEA",0.0091608334265127,0.000102571203850891,14,8.17278300238686e-05
"ARC",0.00356800569096765,0.0690695611412559,17,0.0260527559781044
"ACC",-0.00824642443783069,6.25885611808241e-07,24,6.20806277039552e-05
"NEP",0.0012518548334602,0.743689040579261,31,0.660645408880598
"NWA",0.0141630777710593,0.00298861975968634,15,0.000207824096439283
