"Region","Slope","Slope p-value","Changepoint","Changepoint p-value"
"NWP",-0.0042196871054293,0.844466763081637,28,0.15990608434729
"SP",-0.0605393408214205,0.00856728524638082,23,0.0284788814525392
"AUS",-0.0247532375692734,0.609997961874609,27,0.631150449841744
"IND",-0.0129014165088384,0.591796749223954,27,0.721833973454074
"SWA",-0.0707740076429981,0.00417965000041343,24,0.000822177528345348
"SEA",-0.124659772416306,0.00856728524638082,21,0.0369935824191553
"NEA",0.064309019737513,0.0017729038827512,13,0.0149769391019186
"ARC",-0.205484052261396,0.000775842505865297,28,0.0260527559781044
"ACC",-0.120518259099617,9.36272450113519e-07,24,3.54258068347978e-05
"NEP",-0.063487049284665,0.00924935627531963,25,0.0659441107594384
"NWA",0.0723353972844947,0.119616127602119,11,0.00613378725556057
